,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,AI 2024,된다! 하루 만에 끝내는 챗GPT 활용법,조코딩의 챗GPT API를 활용한 수익형 웹 서비스 만들기,진짜 챗GPT 활용법,프롬프트 엔지니어링으로 인공지능 제대로 일 시키기,혼자 공부하는 머신러닝 + 딥러닝,미드저니 프롬프트 마스터 가이드,당장 써먹는 AI 프롬프트 사전,비전공자도 이해할 수 있는 AI 지식 (챗GPT 수록 개정판),챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템,AI 이후의 세계,Do it! 챗GPT & 파이썬으로 AI 직원 만들기,연봉 5억 N잡러가 되기 위한 AI 무자본 창업 50선,"키워드로 완성하는 AI 아트 테크닉 with 미드저니, 니지저니",업무와 일상을 업시키는 16가지 생성형 AI 활용,생성형 AI 업무 혁신,"생성형 AI 빅3 챗GPT, 미드저니, 스테이블 디퓨전","GPT-4, ChatGPT, 라마인덱스, 랭체인을 활용한 인공지능 프로그래밍",된다! 생성형 AI 사진 & 이미지 만들기,실전에 바로 적용할 수 있는 파이썬 데이터 분석 & 시각화 + 웹 대시보드 제작하기,가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,챗GPT : GPT 노마드의 탄생,챗GPT 교사 마스터 플랜,GPT-4를 활용한 인공지능 앱 개발,샘 올트먼의 스타트업 플레이북,생성형 AI 프롬프트 디자인,러닝 레이,된다! 미드저니,챗GPT : 마침내 찾아온 특이점,사이버네틱스,챗GPT 기회를 잡는 사람들,챗GPT 영어 혁명,인공지능을 위한 수학,AI가 바꾸는 학교 수업 챗GPT 교육 활용,챗GPT & AI 31가지 실전 활용,스테이블 디퓨전으로 만드는 게임 그래픽,모두의 한국어 텍스트 분석 with 파이썬,이진경 장병탁 선을 넘는 인공지능,진짜 하루만에 끝내는 AI 활용,AICE 인공지능 활용능력 평가 : AICE FUTURE 3급,챗GPT 슬기로운 일상생활의 자동화,생성형 AI 챗GPT 300% 활용법,HRD 실무자를 위한 ChatGPT 활용 가이드,챗GPT 사용설명서,만들면서 배우는 파이썬과 40개의 작품들,챗GPT와 글쓰기,만들면서 배우는 생성 AI,프롬프트 엔지니어링,나는 오렌지로 데이터 분석한다,챗GPT를 활용한 40가지 파이썬 프로그램 만들기
